hlo_op,runtime
fusion.39,7397
broadcast.116,6160
fusion.261,63670
fusion.277,198906
fusion.307,10507
custom-call.1,58363
fusion.306,6843
fusion.193,216427
fusion.183,85600
broadcast.518,7814
broadcast.511,9347
custom-call.3,350485
fusion.305,14318
custom-call.5,243092
fusion.181,12693
fusion.179,10402
fusion.43,68752
fusion.41,6381
add.2155,6451
fusion.314,24792
custom-call.8,249750
fusion.317,9131
custom-call.6,135954
fusion.313,33719
custom-call.9,142710
custom-call.7,124772
fusion.312,47167
custom-call.10,71457
fusion.154,93028
custom-call.11,53738
fusion.311,26089
fusion.30,20701
custom-call.12,247634
custom-call.13,136263
fusion.310,32131
custom-call.14,123294
fusion.24,21472
fusion.316,22541
fusion.27,75085
